value,gnn_layers,batch_size,dropout,lr,epoch
58.56,1,128,0.1,8e-06,100
58.85,1,128,0.1,9e-06,80
58.82,1,128,0.1,1e-05,70
58.37,1,128,0.1,2e-05,50
58.73,1,128,0.1,3e-05,50
58.81,1,128,0.1,4e-05,50
58.5,1,128,0.1,5e-05,40
58.43,1,128,0.1,6e-05,30
58.51,1,128,0.1,7e-05,30
58.57,1,128,0.2,8e-06,100
58.63,1,128,0.2,9e-06,80
58.42,1,128,0.2,1e-05,70
58.39,1,128,0.2,2e-05,50
58.65,1,128,0.2,3e-05,50
58.94,1,128,0.2,4e-05,50
58.95,1,128,0.2,5e-05,40
58.28,1,128,0.2,6e-05,30
58.3,1,128,0.2,7e-05,30
58.51,1,128,0.3,8e-06,100
58.47,1,128,0.3,9e-06,80
58.33,1,128,0.3,1e-05,70
58.65,1,128,0.3,2e-05,50
59.02,1,128,0.3,3e-05,50
58.93,1,128,0.3,4e-05,50
59.01,1,128,0.3,5e-05,40
58.31,1,128,0.3,6e-05,30
58.36,1,128,0.3,7e-05,30
58.41,1,128,0.4,8e-06,100
58.53,1,128,0.4,9e-06,80
58.35,1,128,0.4,1e-05,70
58.53,1,128,0.4,2e-05,50
58.85,1,128,0.4,3e-05,50
59.04,1,128,0.4,4e-05,50
59.03,1,128,0.4,5e-05,40
58.52,1,128,0.4,6e-05,30
58.43,1,128,0.4,7e-05,30
58.54,1,128,0.5,8e-06,100
58.43,1,128,0.5,9e-06,80
58.27,1,128,0.5,1e-05,70
58.4,1,128,0.5,2e-05,50
58.56,1,128,0.5,3e-05,50
59.26,1,128,0.5,4e-05,50
59.1,1,128,0.5,5e-05,40
58.5,1,128,0.5,6e-05,30
58.34,1,128,0.5,7e-05,30
58.88,1,64,0.1,8e-06,100
58.9,1,64,0.1,9e-06,80
58.98,1,64,0.1,1e-05,70
58.79,1,64,0.1,2e-05,50
58.94,1,64,0.1,3e-05,50
59.11,1,64,0.1,4e-05,50
58.89,1,64,0.1,5e-05,40
59.18,1,64,0.1,6e-05,30
59.21,1,64,0.1,7e-05,30
58.84,1,64,0.2,8e-06,100
58.78,1,64,0.2,9e-06,80
59.0,1,64,0.2,1e-05,70
58.63,1,64,0.2,2e-05,50
58.86,1,64,0.2,3e-05,50
58.87,1,64,0.2,4e-05,50
58.93,1,64,0.2,5e-05,40
58.95,1,64,0.2,6e-05,30
59.04,1,64,0.2,7e-05,30
58.76,1,64,0.3,8e-06,100
58.85,1,64,0.3,9e-06,80
59.12,1,64,0.3,1e-05,70
58.75,1,64,0.3,2e-05,50
58.87,1,64,0.3,3e-05,50
58.91,1,64,0.3,4e-05,50
58.84,1,64,0.3,5e-05,40
58.92,1,64,0.3,6e-05,30
58.9,1,64,0.3,7e-05,30
58.81,1,64,0.4,8e-06,100
58.81,1,64,0.4,9e-06,80
58.89,1,64,0.4,1e-05,70
58.6,1,64,0.4,2e-05,50
58.86,1,64,0.4,3e-05,50
58.91,1,64,0.4,4e-05,50
58.79,1,64,0.4,5e-05,40
58.92,1,64,0.4,6e-05,30
58.75,1,64,0.4,7e-05,30
59.12,1,64,0.5,8e-06,100
58.55,1,64,0.5,9e-06,80
58.77,1,64,0.5,1e-05,70
58.45,1,64,0.5,2e-05,50
58.9,1,64,0.5,3e-05,50
59.08,1,64,0.5,4e-05,50
58.67,1,64,0.5,5e-05,40
58.77,1,64,0.5,6e-05,30
58.98,1,64,0.5,7e-05,30
